"GeneID","Gene Name","Gene Category","Gene Class","DHS Support"
"ENSG00000185742.6","C11orf87","mRNA","protein coding mRNAs","promoter"
"ENSG00000185739.9","SRL","mRNA","protein coding mRNAs","promoter"
"ENSG00000185737.8","NRG3","others","protein coding mRNAs","no"
"ENSG00000185736.11","ADARB2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185730.3","ZNF696","mRNA","protein coding mRNAs","promoter"
"ENSG00000185728.12","YTHDF3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185722.12","ANKFY1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185721.7","DRG1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185716.7","C16orf52","mRNA","protein coding mRNAs","promoter"
"ENSG00000185697.12","MYBL1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185689.11","C6orf201","others","protein coding mRNAs","no"
"ENSG00000185686.13","PRAME","others","protein coding mRNAs","enhancer"
"ENSG00000185684.8","EP400NL","mRNA","protein coding mRNAs","promoter"
"ENSG00000185681.8","MORN5","mRNA","protein coding mRNAs","promoter"
"ENSG00000185674.5","LYG2","others","protein coding mRNAs","no"
"ENSG00000185670.7","ZBTB3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185669.5","SNAI3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185668.5","POU3F1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185666.10","SYN3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185664.10","PMEL","mRNA","protein coding mRNAs","promoter"
"ENSG00000185662.4","C5orf50","others","protein coding mRNAs","no"
"ENSG00000185658.9","BRWD1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185652.7","NTF3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185651.10","UBE2L3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185650.8","ZFP36L1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185640.5","KRT79","others","protein coding mRNAs","no"
"ENSG00000185634.7","SHC4","mRNA","protein coding mRNAs","promoter"
"ENSG00000185633.6","NDUFA4L2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185630.14","PBX1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185627.13","PSMD13","mRNA","protein coding mRNAs","promoter"
"ENSG00000185624.10","P4HB","mRNA","protein coding mRNAs","promoter"
"ENSG00000185621.7","LMLN","mRNA","protein coding mRNAs","promoter"
"ENSG00000185619.13","PCGF3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185615.11","PDIA2","others","protein coding mRNAs","dyadic"
"ENSG00000185614.4","FAM212A","mRNA","protein coding mRNAs","promoter"
"ENSG00000185610.6","DBX2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185608.4","MRPL40","mRNA","protein coding mRNAs","promoter"
"ENSG00000185594.4","SPATA8","others","protein coding mRNAs","no"
"ENSG00000185591.5","SP1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185585.15","OLFML2A","mRNA","protein coding mRNAs","promoter"
"ENSG00000185567.6","AHNAK2","others","protein coding mRNAs","enhancer"
"ENSG00000185565.7","LSAMP","mRNA","protein coding mRNAs","promoter"
"ENSG00000185561.8","TLCD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185559.9","DLK1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185554.10","NXF2","others","protein coding mRNAs","no"
"ENSG00000185551.8","NR2F2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185532.10","PRKG1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185527.7","PDE6G","others","protein coding mRNAs","enhancer"
"ENSG00000185523.6","C1orf227","others","protein coding mRNAs","no"
"ENSG00000185522.4","C11orf35","mRNA","protein coding mRNAs","promoter"
"ENSG00000185519.8","FAM131C","mRNA","protein coding mRNAs","promoter"
"ENSG00000185518.7","SV2B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185515.10","BRCC3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185513.10","L3MBTL1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185507.15","IRF7","mRNA","protein coding mRNAs","promoter"
"ENSG00000185504.12","C17orf70","mRNA","protein coding mRNAs","promoter"
"ENSG00000185499.12","MUC1","others","protein coding mRNAs","dyadic"
"ENSG00000185483.7","ROR1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185482.3","STAC3","others","protein coding mRNAs","enhancer"
"ENSG00000185480.7","PARPBP","mRNA","protein coding mRNAs","promoter"
"ENSG00000185479.5","KRT6B","others","protein coding mRNAs","enhancer"
"ENSG00000185477.4","GPRIN3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185475.4","TMEM179B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185467.7","KPNA7","others","protein coding mRNAs","enhancer"
"ENSG00000185453.8","C19orf68","mRNA","protein coding mRNAs","promoter"
"ENSG00000185448.9","FAM47A","others","protein coding mRNAs","no"
"ENSG00000185442.8","FAM174B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185437.9","SH3BGR","mRNA","protein coding mRNAs","promoter"
"ENSG00000185436.7","IFNLR1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185432.10","METTL7A","mRNA","protein coding mRNAs","promoter"
"ENSG00000185420.14","SMYD3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185418.11","TARSL2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185414.15","MRPL30","mRNA","protein coding mRNAs","promoter"
"ENSG00000185404.12","SP140L","mRNA","protein coding mRNAs","promoter"
"ENSG00000185386.10","MAPK11","others","protein coding mRNAs","dyadic"
"ENSG00000185379.16","RAD51D","mRNA","protein coding mRNAs","promoter"
"ENSG00000185361.4","TNFAIP8L1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185359.8","HGS","mRNA","protein coding mRNAs","promoter"
"ENSG00000185352.7","HS6ST3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185347.13","C14orf80","others","protein coding mRNAs","dyadic"
"ENSG00000185345.14","PARK2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185344.9","ATP6V0A2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185340.11","GAS2L1","others","protein coding mRNAs","dyadic"
"ENSG00000185339.4","TCN2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185338.4","SOCS1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185332.2","TMEM105","mRNA","protein coding mRNAs","promoter"
"ENSG00000185324.17","CDK10","mRNA","protein coding mRNAs","promoter"
"ENSG00000185306.8","C12orf56","mRNA","protein coding mRNAs","promoter"
"ENSG00000185305.6","ARL15","mRNA","protein coding mRNAs","promoter"
"ENSG00000185304.12","RGPD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185303.11","SFTPA2","others","protein coding mRNAs","no"
"ENSG00000185298.8","CCDC137","mRNA","protein coding mRNAs","promoter"
"ENSG00000185294.5","SPPL2C","others","protein coding mRNAs","no"
"ENSG00000185291.6","IL3RA","mRNA","protein coding mRNAs","promoter"
"ENSG00000185290.3","NUPR1L","mRNA","protein coding mRNAs","promoter"
"ENSG00000185278.10","ZBTB37","mRNA","protein coding mRNAs","promoter"
"ENSG00000185274.7","WBSCR17","mRNA","protein coding mRNAs","promoter"
"ENSG00000185272.9","RBM11","mRNA","protein coding mRNAs","promoter"
"ENSG00000185271.6","KLHL33","others","protein coding mRNAs","enhancer"
"ENSG00000185269.7","NOTUM","mRNA","protein coding mRNAs","promoter"
"ENSG00000185267.5","CDNF","mRNA","protein coding mRNAs","promoter"
"ENSG00000185264.7","TEX33","others","protein coding mRNAs","enhancer"
"ENSG00000185262.7","UBALD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185261.9","KIAA0825","mRNA","protein coding mRNAs","promoter"
"ENSG00000185254.8","TEX28","others","protein coding mRNAs","enhancer"
"ENSG00000185252.13","ZNF74","mRNA","protein coding mRNAs","promoter"
"ENSG00000185250.11","PPIL6","mRNA","protein coding mRNAs","promoter"
"ENSG00000185247.10","MAGEA11","others","protein coding mRNAs","enhancer"
"ENSG00000185246.13","PRPF39","mRNA","protein coding mRNAs","promoter"
"ENSG00000185245.6","GP1BA","others","protein coding mRNAs","dyadic"
"ENSG00000185238.8","PRMT3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185236.7","RAB11B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185231.4","MC2R","others","protein coding mRNAs","dyadic"
"ENSG00000185222.7","WBP5","mRNA","protein coding mRNAs","promoter"
"ENSG00000185220.7","PGBD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185219.11","ZNF445","mRNA","protein coding mRNAs","promoter"
"ENSG00000185215.4","TNFAIP2","others","protein coding mRNAs","dyadic"
"ENSG00000185201.12","IFITM2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185198.7","PRSS57","others","protein coding mRNAs","dyadic"
"ENSG00000185189.11","NRBP2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185187.8","SIGIRR","others","protein coding mRNAs","enhancer"
"ENSG00000185177.8","ZNF479","others","protein coding mRNAs","no"
"ENSG00000185176.8","AQP12B","others","protein coding mRNAs","enhancer"
"ENSG00000185164.10","NOMO2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185163.5","DDX51","mRNA","protein coding mRNAs","promoter"
"ENSG00000185158.8","LRRC37B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185156.4","MFSD6L","mRNA","protein coding mRNAs","promoter"
"ENSG00000185155.7","MIXL1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185149.5","NPY2R","mRNA","protein coding mRNAs","promoter"
"ENSG00000185133.9","INPP5J","others","protein coding mRNAs","dyadic"
"ENSG00000185130.4","HIST1H2BL","mRNA","protein coding mRNAs","promoter"
"ENSG00000185129.4","PURA","mRNA","protein coding mRNAs","promoter"
"ENSG00000185127.5","C6orf120","mRNA","protein coding mRNAs","promoter"
"ENSG00000185122.6","HSF1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185115.4","NDNL2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185112.4","FAM43A","mRNA","protein coding mRNAs","promoter"
"ENSG00000185105.4","MYADML2","others","protein coding mRNAs","enhancer"
"ENSG00000185104.15","FAF1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185101.8","ANO9","mRNA","protein coding mRNAs","promoter"
"ENSG00000185100.6","ADSSL1","others","protein coding mRNAs","dyadic"
"ENSG00000185090.10","MANEAL","mRNA","protein coding mRNAs","promoter"
"ENSG00000185088.8","RPS27L","mRNA","protein coding mRNAs","promoter"
"ENSG00000185087.7","FAM169B","others","protein coding mRNAs","dyadic"
"ENSG00000185085.2","INTS5","mRNA","protein coding mRNAs","promoter"
"ENSG00000185070.6","FLRT2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185069.2","KRT76","others","protein coding mRNAs","no"
"ENSG00000185056.9","C5orf47","others","protein coding mRNAs","enhancer"
"ENSG00000185055.6","EFCAB10","others","protein coding mRNAs","dyadic"
"ENSG00000185053.8","SGCZ","mRNA","protein coding mRNAs","promoter"
"ENSG00000185052.7","SLC24A3","mRNA","protein coding mRNAs","promoter"
"ENSG00000185049.8","NELFA","mRNA","protein coding mRNAs","promoter"
"ENSG00000185046.14","ANKS1B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185043.6","CIB1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185038.10","MROH2A","others","protein coding mRNAs","dyadic"
"ENSG00000185033.10","SEMA4B","mRNA","protein coding mRNAs","promoter"
"ENSG00000185028.3","LRRC14B","others","protein coding mRNAs","dyadic"
"ENSG00000185024.11","BRF1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185022.7","MAFF","others","protein coding mRNAs","enhancer"
"ENSG00000185019.12","UBOX5","mRNA","protein coding mRNAs","promoter"
"ENSG00000185015.3","CA13","mRNA","protein coding mRNAs","promoter"
"ENSG00000185013.12","NT5C1B","others","protein coding mRNAs","enhancer"
"ENSG00000185010.9","F8","others","protein coding mRNAs","no"
"ENSG00000185009.8","AP3M1","mRNA","protein coding mRNAs","promoter"
"ENSG00000185008.13","ROBO2","mRNA","protein coding mRNAs","promoter"
"ENSG00000185002.5","RFX6","mRNA","protein coding mRNAs","promoter"
"ENSG00000185000.5","DGAT1","others","protein coding mRNAs","dyadic"
"ENSG00000184999.7","SLC22A10","others","protein coding mRNAs","no"
"ENSG00000184995.6","IFNE","others","protein coding mRNAs","dyadic"
"ENSG00000184992.10","BRI3BP","mRNA","protein coding mRNAs","promoter"
"ENSG00000184990.8","SIVA1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184988.4","TMEM106A","mRNA","protein coding mRNAs","promoter"
"ENSG00000184986.6","TMEM121","mRNA","protein coding mRNAs","promoter"
"ENSG00000184985.12","SORCS2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184984.8","CHRM5","mRNA","protein coding mRNAs","promoter"
"ENSG00000184983.5","NDUFA6","mRNA","protein coding mRNAs","promoter"
"ENSG00000184979.9","USP18","mRNA","protein coding mRNAs","promoter"
"ENSG00000184967.2","NOC4L","mRNA","protein coding mRNAs","promoter"
"ENSG00000184956.11","MUC6","others","protein coding mRNAs","dyadic"
"ENSG00000184949.11","FAM227A","mRNA","protein coding mRNAs","promoter"
"ENSG00000184945.9","AQP12A","others","protein coding mRNAs","enhancer"
"ENSG00000184939.11","ZFP90","mRNA","protein coding mRNAs","promoter"
"ENSG00000184937.8","WT1","others","protein coding mRNAs","dyadic"
"ENSG00000184925.7","LCN12","others","protein coding mRNAs","enhancer"
"ENSG00000184924.5","PTRHD1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184922.9","FMNL1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184916.4","JAG2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184911.10","DMRTC1B","others","protein coding mRNAs","no"
"ENSG00000184909.8","C1ORF220","mRNA","protein coding mRNAs","promoter"
"ENSG00000184908.13","CLCNKB","others","protein coding mRNAs","no"
"ENSG00000184905.4","TCEAL2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184903.5","IMMP2L","mRNA","protein coding mRNAs","promoter"
"ENSG00000184900.11","SUMO3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184898.6","RBM43","mRNA","protein coding mRNAs","promoter"
"ENSG00000184897.4","H1FX","mRNA","protein coding mRNAs","promoter"
"ENSG00000184895.6","SRY","others","protein coding mRNAs","no"
"ENSG00000184887.9","BTBD6","mRNA","protein coding mRNAs","promoter"
"ENSG00000184886.3","PIGW","mRNA","protein coding mRNAs","promoter"
"ENSG00000184867.9","ARMCX2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184863.6","RBM33","mRNA","protein coding mRNAs","promoter"
"ENSG00000184860.5","SDR42E1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184857.7","TMEM186","mRNA","protein coding mRNAs","promoter"
"ENSG00000184845.3","DRD1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184840.7","TMED9","mRNA","protein coding mRNAs","promoter"
"ENSG00000184838.10","PRR16","mRNA","protein coding mRNAs","promoter"
"ENSG00000184831.9","APOO","mRNA","protein coding mRNAs","promoter"
"ENSG00000184828.5","ZBTB7C","mRNA","protein coding mRNAs","promoter"
"ENSG00000184825.4","HIST1H2AH","mRNA","protein coding mRNAs","promoter"
"ENSG00000184814.5","PRR23B","others","protein coding mRNAs","no"
"ENSG00000184811.3","TUSC5","others","protein coding mRNAs","enhancer"
"ENSG00000184809.8","C21orf88","mRNA","protein coding mRNAs","promoter"
"ENSG00000184792.11","OSBP2","others","protein coding mRNAs","enhancer"
"ENSG00000184787.14","UBE2G2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184786.4","TCTE3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184785.4","SMIM10","mRNA","protein coding mRNAs","promoter"
"ENSG00000184752.8","NDUFA12","mRNA","protein coding mRNAs","promoter"
"ENSG00000184743.8","ATL3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184735.5","DDX53","others","protein coding mRNAs","no"
"ENSG00000184731.5","FAM110C","mRNA","protein coding mRNAs","promoter"
"ENSG00000184730.6","APOBR","others","protein coding mRNAs","dyadic"
"ENSG00000184724.5","KRTAP6-1","others","protein coding mRNAs","no"
"ENSG00000184719.7","RNLS","mRNA","protein coding mRNAs","promoter"
"ENSG00000184716.9","SERINC4","others","protein coding mRNAs","enhancer"
"ENSG00000184709.7","LRRC26","mRNA","protein coding mRNAs","promoter"
"ENSG00000184708.13","EIF4ENIF1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184702.13","SEPT5","mRNA","protein coding mRNAs","promoter"
"ENSG00000184697.6","CLDN6","mRNA","protein coding mRNAs","promoter"
"ENSG00000184682.5","C11orf89","others","protein coding mRNAs","no"
"ENSG00000184678.8","HIST2H2BE","mRNA","protein coding mRNAs","promoter"
"ENSG00000184677.12","ZBTB40","mRNA","protein coding mRNAs","promoter"
"ENSG00000184675.5","AMER1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184674.8","GSTT1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184672.7","RALYL","mRNA","protein coding mRNAs","promoter"
"ENSG00000184661.9","CDCA2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184650.5","ODF4","others","protein coding mRNAs","no"
"ENSG00000184647.6","PRSS55","others","protein coding mRNAs","no"
"ENSG00000184640.13","SEPT9","others","protein coding mRNAs","dyadic"
"ENSG00000184635.9","ZNF93","mRNA","protein coding mRNAs","promoter"
"ENSG00000184634.11","MED12","mRNA","protein coding mRNAs","promoter"
"ENSG00000184619.3","KRBA2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184613.6","NELL2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184611.7","KCNH7","mRNA","protein coding mRNAs","promoter"
"ENSG00000184608.4","C8orf12","others","protein coding mRNAs","enhancer"
"ENSG00000184602.5","SNN","mRNA","protein coding mRNAs","promoter"
"ENSG00000184601.6","C14orf180","others","protein coding mRNAs","enhancer"
"ENSG00000184599.9","FAM19A3","others","protein coding mRNAs","dyadic"
"ENSG00000184588.13","PDE4B","mRNA","protein coding mRNAs","promoter"
"ENSG00000184584.8","TMEM173","others","protein coding mRNAs","dyadic"
"ENSG00000184575.7","XPOT","mRNA","protein coding mRNAs","promoter"
"ENSG00000184574.5","LPAR5","others","protein coding mRNAs","enhancer"
"ENSG00000184564.8","SLITRK6","others","protein coding mRNAs","enhancer"
"ENSG00000184560.3","C17orf74","others","protein coding mRNAs","no"
"ENSG00000184557.3","SOCS3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184545.6","DUSP8","mRNA","protein coding mRNAs","promoter"
"ENSG00000184544.7","DHRS7C","others","protein coding mRNAs","dyadic"
"ENSG00000184530.8","C6orf58","others","protein coding mRNAs","no"
"ENSG00000184524.5","CEND1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184517.7","ZFP1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184515.6","BEX5","mRNA","protein coding mRNAs","promoter"
"ENSG00000184508.6","HDDC3","others","protein coding mRNAs","dyadic"
"ENSG00000184507.11","NUTM1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184502.3","GAST","others","protein coding mRNAs","no"
"ENSG00000184500.10","PROS1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184497.8","TMEM255B","mRNA","protein coding mRNAs","promoter"
"ENSG00000184489.7","PTP4A3","others","protein coding mRNAs","dyadic"
"ENSG00000184486.7","POU3F2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184481.12","FOXO4","mRNA","protein coding mRNAs","promoter"
"ENSG00000184471.6","C1QTNF8","others","protein coding mRNAs","enhancer"
"ENSG00000184470.15","TXNRD2","others","protein coding mRNAs","dyadic"
"ENSG00000184465.11","WDR27","mRNA","protein coding mRNAs","promoter"
"ENSG00000184459.4","BPIFC","others","protein coding mRNAs","enhancer"
"ENSG00000184454.6","NCMAP","mRNA","protein coding mRNAs","promoter"
"ENSG00000184451.5","CCR10","others","protein coding mRNAs","dyadic"
"ENSG00000184445.7","KNTC1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184436.7","THAP7","mRNA","protein coding mRNAs","promoter"
"ENSG00000184434.7","LRRC19","mRNA","protein coding mRNAs","promoter"
"ENSG00000184432.5","COPB2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184428.8","TOP1MT","others","protein coding mRNAs","dyadic"
"ENSG00000184408.5","KCND2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184402.10","SS18L1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184389.8","A3GALT2","others","protein coding mRNAs","no"
"ENSG00000184385.2","C21orf128","others","protein coding mRNAs","enhancer"
"ENSG00000184384.9","MAML2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184381.14","PLA2G6","others","protein coding mRNAs","dyadic"
"ENSG00000184378.2","ACTRT3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184374.2","COLEC10","others","protein coding mRNAs","dyadic"
"ENSG00000184371.9","CSF1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184368.11","MAP7D2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184363.5","PKP3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184361.8","SPATA32","mRNA","protein coding mRNAs","promoter"
"ENSG00000184357.3","HIST1H1B","mRNA","protein coding mRNAs","promoter"
"ENSG00000184351.7","KRTAP19-1","others","protein coding mRNAs","enhancer"
"ENSG00000184350.8","MRGPRE","others","protein coding mRNAs","enhancer"
"ENSG00000184349.8","EFNA5","mRNA","protein coding mRNAs","promoter"
"ENSG00000184348.2","HIST1H2AK","mRNA","protein coding mRNAs","promoter"
"ENSG00000184347.10","SLIT3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184345.4","IQCF2","others","protein coding mRNAs","no"
"ENSG00000184344.3","GDF3","others","protein coding mRNAs","dyadic"
"ENSG00000184343.6","SRPK3","others","protein coding mRNAs","enhancer"
"ENSG00000184330.7","S100A7A","others","protein coding mRNAs","no"
"ENSG00000184313.15","MROH7","others","protein coding mRNAs","no"
"ENSG00000184307.9","ZDHHC23","mRNA","protein coding mRNAs","promoter"
"ENSG00000184305.10","CCSER1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184304.10","PRKD1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184302.6","SIX6","others","protein coding mRNAs","dyadic"
"ENSG00000184293.3","CLECL1","others","protein coding mRNAs","enhancer"
"ENSG00000184292.5","TACSTD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184281.10","TSSC4","mRNA","protein coding mRNAs","promoter"
"ENSG00000184277.8","TM2D3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184271.11","POU6F1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184270.3","HIST2H2AB","mRNA","protein coding mRNAs","promoter"
"ENSG00000184261.4","KCNK12","mRNA","protein coding mRNAs","promoter"
"ENSG00000184260.4","HIST2H2AC","mRNA","protein coding mRNAs","promoter"
"ENSG00000184258.5","CDR1","others","protein coding mRNAs","no"
"ENSG00000184254.12","ALDH1A3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184232.4","OAF","mRNA","protein coding mRNAs","promoter"
"ENSG00000184227.3","ACOT1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184226.10","PCDH9","mRNA","protein coding mRNAs","promoter"
"ENSG00000184224.3","C11orf72","mRNA","protein coding mRNAs","promoter"
"ENSG00000184221.8","OLIG1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184220.6","CMSS1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184216.7","IRAK1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184210.5","DGAT2L6","others","protein coding mRNAs","no"
"ENSG00000184209.14","SNRNP35","mRNA","protein coding mRNAs","promoter"
"ENSG00000184208.10","C22orf46","mRNA","protein coding mRNAs","promoter"
"ENSG00000184207.8","PGP","mRNA","protein coding mRNAs","promoter"
"ENSG00000184205.10","TSPYL2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184203.3","PPP1R2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184194.5","GPR173","mRNA","protein coding mRNAs","promoter"
"ENSG00000184185.5","KCNJ12","mRNA","protein coding mRNAs","promoter"
"ENSG00000184182.14","UBE2F","mRNA","protein coding mRNAs","promoter"
"ENSG00000184178.11","SCFD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184164.10","CRELD2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184163.3","FAM132A","others","protein coding mRNAs","dyadic"
"ENSG00000184162.10","NR2C2AP","mRNA","protein coding mRNAs","promoter"
"ENSG00000184160.6","ADRA2C","mRNA","protein coding mRNAs","promoter"
"ENSG00000184156.11","KCNQ3","mRNA","protein coding mRNAs","promoter"
"ENSG00000184154.8","LRTOMT","mRNA","protein coding mRNAs","promoter"
"ENSG00000184148.3","SPRR4","others","protein coding mRNAs","no"
"ENSG00000184144.5","CNTN2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184117.7","NIPSNAP1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184113.8","CLDN5","mRNA","protein coding mRNAs","promoter"
"ENSG00000184110.10","EIF3C","others","protein coding mRNAs","no"
"ENSG00000184108.3","TRIML1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184083.7","FAM120C","mRNA","protein coding mRNAs","promoter"
"ENSG00000184076.10","UQCR10","mRNA","protein coding mRNAs","promoter"
"ENSG00000184060.6","ADAP2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184058.8","TBX1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184056.10","VPS33B","mRNA","protein coding mRNAs","promoter"
"ENSG00000184047.11","DIABLO","mRNA","protein coding mRNAs","promoter"
"ENSG00000184029.5","DSCR4","mRNA","protein coding mRNAs","promoter"
"ENSG00000184014.3","DENND5A","mRNA","protein coding mRNAs","promoter"
"ENSG00000184012.7","TMPRSS2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184009.5","ACTG1","mRNA","protein coding mRNAs","promoter"
"ENSG00000184007.13","PTP4A2","mRNA","protein coding mRNAs","promoter"
"ENSG00000184005.9","ST6GALNAC3","mRNA","protein coding mRNAs","promoter"
"ENSG00000183979.7","NPB","mRNA","protein coding mRNAs","promoter"
"ENSG00000183978.7","COA3","mRNA","protein coding mRNAs","promoter"
"ENSG00000183977.9","PP2D1","others","protein coding mRNAs","no"
"ENSG00000183971.5","NPW","mRNA","protein coding mRNAs","promoter"
"ENSG00000183963.14","SMTN","mRNA","protein coding mRNAs","promoter"
"ENSG00000183960.4","KCNH8","mRNA","protein coding mRNAs","promoter"
"ENSG00000183955.8","SETD8","mRNA","protein coding mRNAs","promoter"
"ENSG00000183943.5","PRKX","mRNA","protein coding mRNAs","promoter"
"ENSG00000183941.8","HIST2H4A","others","protein coding mRNAs","no"
"ENSG00000183918.10","SH2D1A","others","protein coding mRNAs","dyadic"
"ENSG00000183914.10","DNAH2","mRNA","protein coding mRNAs","promoter"
"ENSG00000183908.5","LRRC55","others","protein coding mRNAs","enhancer"
"ENSG00000183891.5","TTC32","mRNA","protein coding mRNAs","promoter"
"ENSG00000183888.4","C1orf64","others","protein coding mRNAs","enhancer"
"ENSG00000183878.11","UTY","others","protein coding mRNAs","no"
"ENSG00000183876.8","ARSI","others","protein coding mRNAs","dyadic"
"ENSG00000183873.11","SCN5A","mRNA","protein coding mRNAs","promoter"
"ENSG00000183864.4","TOB2","mRNA","protein coding mRNAs","promoter"
"ENSG00000183856.6","IQGAP3","others","protein coding mRNAs","dyadic"
"ENSG00000183853.13","KIRREL","mRNA","protein coding mRNAs","promoter"
"ENSG00000183850.9","ZNF730","mRNA","protein coding mRNAs","promoter"
